r_0001,D_LACDcm
r_0002,D_LACDm
r_0003,BTDD_RR
r_0004,L_LACD2cm
r_0007,PRMICI
r_0012,P5CDm
r_0014,DRTPPD
r_0016,ACHBSm
r_0018,AATA
r_0019,DPR
r_0020,DDPAm
r_0021,2HPMBQMTm
r_0022,2HP6MPMOm
r_0023,IPPMIb
r_0024,IPPS
r_0025,IPPSm
r_0028,MCITSm
r_0029,OMCDC
r_0030,OMCDCm
r_0032,BPNT
r_0033,PDE1
r_0034,PDE2
r_0035,PDE3
r_0036,PDE4
r_0037,PDE5
r_0038,DB4PS
r_0039,DHQTi
r_0040,DHQS
r_0042,DDPA
r_0043,3OPHB5Hm
r_0045,HKYNH
r_0057,HACD6p
r_0058,3HAO
r_0060,IPPMIa
r_0061,IPMD
r_0062,3MOBDC
r_0063,MTMOHT
r_0064,3MOPDC
r_0065,PSCVT
r_0066,ADCS
r_0067,ADCL
r_0068,ABTA
r_0069,4HTHRS
r_0070,4HBZFm
r_0072,4MOPDC
r_0075,MTAP
r_0076,NTD4
r_0077,NTD11
r_0078,NTD2
r_0079,PRFGS
r_0080,MTHFR3
r_0081,ALASm
r_0084,FTHFCL
r_0085,MHPGLUT
r_0086,MDRPD
r_0087,MTRI
r_0090,PFK26
r_0091,PGL
r_0095,ACALDCD
r_0099,ACOATAm
r_0100,ACACT8p
r_0101,ACACT9p
r_0102,ACACT7p
r_0103,ACACT1r
r_0104,ACACT1m
r_0105,ACACT6p
r_0106,ACACT4p
r_0108,ACCOACrm
r_0109,ACCOAC
r_0111,ACOAHim
r_0112,ACS
r_0113,ACSm
r_0115,ACGKm
r_0116,ACP1e
r_0117,ACONT3m
r_0118,ACOTAim
r_0119,ACPSm
r_0121,ACOAO5p
r_0122,ACOAO9p
r_0123,ACOAO7p
r_0124,ACOAO8p
r_0125,ACOAO6p
r_0138,ADD
r_0139,ADPT
r_0140,ADA
r_0142,ADNK1
r_0143,AMPDA
r_0144,AHCi
r_0145,ADMDC
r_0146,AMAOTr
r_0147,ADNCYC
r_0148,ADK1
r_0149,ADK1m
r_0150,ADK3m
r_0151,ADSL2r
r_0152,ADSL1r
r_0153,ADSS
r_0154,ADSK
r_0155,23CAPPD
r_0156,AGTi
r_0157,ALATRS
r_0158,OHACT3
r_0160,OHACT2
r_0161,OHACT4
r_0162,OHACT5
r_0163,ALCD2x
r_0164,ALCD19y
r_0165,ALCD2irm
r_0166,ALCD22xi
r_0167,ALCD22xim
r_0168,ALCD22yi
r_0169,ALCD25xi
r_0170,ALCD25xim
r_0171,ALCD25yi
r_0172,ALDD22x
r_0173,ALDD2y
r_0174,ALDD2xm
r_0175,ALDD2ym
r_0176,ALDD20xm
r_0177,ALDD20y
r_0178,ALDD20ym
r_0179,ALCD24xi
r_0180,ALCD24xim
r_0181,ALCD24yi
r_0182,ALCD23xi
r_0183,ALCD23xim
r_0184,ALCD23yi
r_0185,ALDD19xr
r_0186,ALCD26xi
r_0187,ALCD26xim
r_0188,AKP1
r_0189,ALLTAHr
r_0190,ALLTN
r_0191,ALPHNH
r_0193,TREHv
r_0194,TREH
r_0195,TRE6PS
r_0198,MALT
r_0199,AMID
r_0200,AACTOOR
r_0201,ABUTDm
r_0202,ANPRT
r_0203,ANS
r_0204,AP4AH
r_0205,ARABR
r_0206,ARGN
r_0207,ARGSL
r_0208,ARGSS
r_0209,ARGTRS
r_0210,ARGTRSm
r_0211,ASNS1
r_0212,ASNTRS
r_0213,ASNTRSm
r_0214,ASPCT
r_0215,ASPK
r_0216,ASPTA
r_0217,ASPTAm
r_0218,ASPTAp
r_0219,ASAD
r_0220,ASPTRS
r_0221,ASPTRSm
r_0222,ATPATF1
r_0223,ATPATF2
r_0224,ATPATF3
r_0225,ATPPRT
r_0226,ATPS3m
r_0227,ATPS
r_0230,BACCL
r_0231,C14STR
r_0233,C22STDS
r_0237,HMR_1509
r_0239,HMR_1503
r_0242,C5STDS
r_0243,C8STI
r_0244,C24STRer
r_0250,CBPS
r_0252,CSNATr
r_0253,CSNATp
r_0254,CSNATm
r_0255,CAT
r_0256,CATp
r_0263,CERS124er
r_0264,CERS126er
r_0265,CERS224er
r_0266,CERS226er
r_0273,CHOLK
r_0274,CHLPCTD
r_0278,CHORM
r_0279,CHORS
r_0280,ACN_b_m
r_0300,CSm
r_0301,CSp
r_0302,ACN_a_m
r_0303,ACONTa
r_0304,CPPPGO
r_0306,CTPS2
r_0307,CTPS1
r_0308,CYSTL
r_0309,CYSTS
r_0310,CYSTGL
r_0311,METB1
r_0312,CYSS
r_0313,CYSTRS
r_0314,CYTD
r_0315,CYTDK2
r_0317,LNS14DM
r_0318,CSND
r_0320,ARAB1D1
r_0321,ARAB1D2
r_0322,FBA2
r_0323,SBTD_D2
r_0326,DCMPDA
r_0327,DCTPD
r_0328,DADA
r_0329,DCYTD
r_0330,DGK1
r_0332,DRBK
r_0334,DPCOAKm
r_0335,DBTS
r_0344,DHFR
r_0345,DHFRim
r_0346,DHFS
r_0348,DNMPPA
r_0349,DHORTS
r_0351,FOLD3m
r_0352,DHAD1m
r_0353,DHAD2m
r_0354,DHAK
r_0355,DMATT
r_0356,DPGM
r_0359,DIPS
r_0360,DOLK
r_0361,DOLPMTcer
r_0362,DOLPMMer
r_0363,DTMPK
r_0364,DUTPDP
r_0365,EPGALURSe
r_0366,ENO
r_0368,ETHAK
r_0370,13BGHe
r_0373,FRTT
r_0400,FACOAL120p
r_0402,FACOAL160p
r_0410,FACOAL80p
r_0412,FACOAL140p
r_0436,FCLTm
r_0437,CCP2m
r_0440,FMNAT
r_0441,FMNRx
r_0442,FMNRx2
r_0443,FALDH
r_0445,FDH
r_0446,FTHFLi
r_0447,FTHFLmi
r_0448,FBP26
r_0449,FBP
r_0450,FBA
r_0451,FUMm
r_0452,FUM
r_0453,DHORDfum
r_0454,FRDm
r_0455,FRD
r_0457,GTMLT
r_0458,GALKr
r_0459,GALT
r_0460,GLUCYS
r_0461,GGTT
r_0462,GRTT
r_0463,GLCGSD
r_0464,GLCGSDv
r_0465,G6PDA
r_0466,G6PDH2r
r_0467,PGI
r_0468,GLU5K
r_0469,GLUDC
r_0470,GLUDxi
r_0471,GLUDy
r_0472,GLUSx
r_0473,G5SD
r_0475,GLUN
r_0476,GLNS
r_0477,GF6PTA
r_0478,GLNTRS
r_0479,GLUTRS
r_0480,GLUTRSm
r_0481,GTHOr
r_0482,GTHOm
r_0483,GTHPi
r_0484,GTHPm
r_0485,GTHS
r_0486,GAPD
r_0487,GLYCDy
r_0488,GLYK
r_0489,G3PT
r_0490,G3PDm
r_0491,G3PD1ir
r_0492,G3PD1irm
r_0497,GPDDA1
r_0499,GARFT
r_0500,GLYAT
r_0501,GLYCLm
r_0502,GHMT2r
r_0503,GHMT2rm
r_0504,GCC2am
r_0505,GCC2cm
r_0506,GCCam
r_0507,GCCbim
r_0508,GCCcm
r_0509,GCC2bim
r_0511,GLCP
r_0512,GLYTRS
r_0514,GMPS2
r_0524,GTPCI
r_0525,GTPCII2
r_0526,GUAD
r_0527,GUAPRT
r_0528,GK1
r_0529,GK2
r_0530,HEMEOMOm
r_0531,HEMEOSm
r_0533,HEX7
r_0534,HEX1
r_0535,HEX4
r_0536,HISTD
r_0537,HISTP
r_0538,HSTPT
r_0539,HISTRS
r_0540,HISTRSm
r_0541,ARMT
r_0542,HACNHm
r_0544,HCYSMT
r_0546,HSDxi
r_0547,HSDy
r_0548,HSK
r_0549,HSERTA
r_0550,THIORDXi
r_0551,THIORDXm
r_0552,THIORDXp
r_0553,GLYOX
r_0554,GLYOXm
r_0555,HBZOPT6m
r_0556,HETZK
r_0557,HMBS
r_0558,HMGCOAR
r_0559,HMGCOAS
r_0560,HMGCOASm
r_0561,HMPK1
r_0562,HXPRT
r_0563,IG3PS
r_0564,IGPDH
r_0565,IMPD
r_0566,IGPS
r_0567,INDPYRD
r_0568,PPA
r_0569,PPAm
r_0570,IMPC
r_0656,ACHLE1
r_0657,ACHLE2
r_0658,ICDHxm
r_0659,ICDHyr
r_0661,ICDHyp
r_0662,ICL
r_0663,ILETA
r_0664,ILETAm
r_0665,ILETRS
r_0666,ILETRSm
r_0667,IPDDI
r_0668,ITCOALm
r_0669,KARA2im
r_0670,KYN
r_0671,KYN3OX
r_0672,PHCDm
r_0673,4HGLSDm
r_0674,ALATA_Lm
r_0675,THRA2
r_0676,ATHRDHr
r_0678,AASAD1
r_0679,ASNN
r_0680,ASNNe
r_0681,EHGLAT
r_0682,EHGLATm
r_0683,EHGLATp
r_0688,LALDO3
r_0689,SERD_L
r_0690,LSERDHr
r_0691,SBTD_L
r_0692,THRD_L
r_0693,THRD_Lm
r_0694,TRPO2
r_0695,TYRNFT
r_0696,LCADi
r_0697,LGTHL
r_0698,LNSTLS
r_0699,LEUTA
r_0700,LEUTAm
r_0701,LEUTRS
r_0702,LEUTRSm
r_0707,LTA4H
r_0711,LYSTRS
r_0712,LYSTRSm
r_0713,MDHm
r_0714,MDH
r_0715,MDHp
r_0716,MALS
r_0717,MALSp
r_0718,ME1m
r_0719,ME2m
r_0721,MCOATAm
r_0722,MAN1PT
r_0723,MAN6PI
r_0724,MTHFCm
r_0725,MTHFC
r_0726,METAT
r_0727,METS
r_0728,FMETTRSm
r_0729,METTRS
r_0730,METTRSm
r_0731,MTHFD2i
r_0732,MTHFD
r_0733,MTHFDm
r_0734,MCITL2m
r_0735,MEVK1
r_0736,MEVK2
r_0737,MEVK3
r_0738,MEVK4
r_0739,DPMVD
r_0757,MI1PP
r_0758,MI1PS
r_0759,AGPRim
r_0760,ACGAM6PS
r_0761,ACGSm
r_0762,FKYNH
r_0764,NADDPp
r_0765,NADK
r_0766,NADKm
r_0768,NADS2
r_0770,NADH2_u6cm
r_0773,NADH2_u6m
r_0774,NAPRT
r_0775,NAPRTm
r_0781,NNAM
r_0782,NNMT
r_0783,NMNAT
r_0784,NMNATn
r_0785,NNATr
r_0786,NNDPR
r_0787,NNDPRm
r_0788,NDP1
r_0789,NDP3
r_0790,NDP7
r_0791,NDP7g
r_0792,CDPPH
r_0793,IDPA
r_0795,NDPK3
r_0796,NDPK8
r_0797,NDPK7
r_0798,NDPK5
r_0799,NDPK4
r_0800,NDPK1
r_0801,NDPK9
r_0802,NDPK10
r_0803,NDPK6
r_0804,NTP3
r_0805,NTP7
r_0806,NTP5
r_0807,NTP10
r_0810,NDP3g
r_0811,NDPK2
r_0812,AHSERL
r_0813,AHSERL2
r_0815,SHSL1
r_0816,OCBT
r_0817,ORNDC
r_0818,ORNTACim
r_0819,ORNTA
r_0820,ORPT
r_0821,OMPDC
r_0831,AKGDbm
r_0832,AKGDam
r_0841,PTPATi
r_0842,PNTK
r_0843,PANTS
r_0845,PTE11x
r_0847,PTE2x
r_0848,PTE7x
r_0849,PTE8x
r_0850,PTE9x
r_0851,PHETA1
r_0852,PHETRS
r_0853,PHETRSm
r_0854,PPYRDC
r_0855,PRAIS
r_0883,PAPSR
r_0884,PPCK
r_0885,PETHCT
r_0886,PFK
r_0887,PFK_3
r_0888,PGMT
r_0889,GND
r_0890,PGAMT
r_0891,PGCD
r_0892,PGK
r_0893,PGM
r_0902,PMANM
r_0903,PMPK
r_0904,PMEVK
r_0905,PPNCL2
r_0906,PPCDC
r_0907,PPM
r_0908,PRASCSi
r_0909,PRAMPC
r_0910,PRATPP
r_0912,AICART
