#rxnMetaCycID	deltaG
RXN-7064	6.8976135
DALADALALIG-RXN	-7.1358643
RXN-19196	-3.6100159
13-BETA-GLUCAN-PHOSPHORYLASE-RXN	-66.098755
RXN-13492	-81.78476
RXN-19638	-5.4330444
RXN-11066	-2.6071167
RXN-11489	117.42
RXN18C3-239	[]
GLYCOLATE-REDUCTASE-RXN	7.961792
RXN-8042	0.
1.1.99.30-RXN	[]
RXN-16377	-23.946983
RXN-8527	-13.729431
RXN-13962	-1.454071
RXN-20115	-307.29758
RXN8J2-139	-20.26236
RXN-14402	-1.6264648
RXN-16886	-14.941772
RXN-11944	[]
DEOXYADENOSINE-KINASE-RXN	-14.815857
TYROSINE-PHENOL-LYASE-RXN	0.35287666
2-HALOACID-DEHALOGENASE-RXN	-5.2382355
RXN-8983	-22.659996
RXN-19670	13.166931
RXN-17368	-15.320007
RXN-11526	-71.22937
RXN-14833	-4.3599854
GPH-RXN	4.5451965
2.6.1.49-RXN	1.3241119
1.13.11.9-RXN	-85.18412
RXN-17799	7.0600586
RXN-8553	-12.349976
METHGLYSYN-RXN	-4.369995
RXN-20142	17.957
3.2.1.75-RXN	[]
RXN-14428	[]
RXN-20617	[]
RXN-11995	-5.7623596
RXN-12430	-0.69714355
UNDECAPRENOL-KINASE-RXN	-14.815979
PYRIMSYN3-RXN	-0.78582764
RXN-9014	7.1758423
RXN-947	-122.20001
RXN-14861	1.0870056
RXN-2946	-17.899963
2.7.1.150-RXN	-8.289550
RXN-15327	-3.6099854
RXN-17843	0.
RXN-12910	-1.8417664
METHYLMALONYL-COA-EPIM-RXN	0.
RXN0-2001	4.9925537
3.2.2.21-RXN	[]
RXN-18252	-95.81354
RXN-20642	[]
RXN-15809	[]
RXN-18275	-156.81616
3.5.99.5-RXN	-6.181244
RXN-12463	-24.902252
RXN-18709	0.
QUINOPRIBOTRANS-RXN	-15.51709
RXN-10457	-19.395874
RXN-9497	-177.70251
ALLANTOINASE-RXN	-4.34713
RXN-3284	-16.406998
RXN-6622	0.8470001
RXN-15358	-10.330017
RXN-13446	-6.377136
RXN-12941	-20.330078
RXN-11019	-13.
RXN0-2625	[]
RXN0-7343	[]
RXN-15853	10.717003
RXN-7985	-0.80285645
3SC23OSPON-RXN	-35.39534
RXN-16300	0.
RXN-18736	-15.127003
RXN-13921	-4.3599854
RXN-10604	[]
RXN66-512	-69.98001
AMINEPHEN-RXN	-23.96299
RXN-19154	-10.717041
RXN-6762	-5.2900085
RXN-16828	-46.63477
RXN-19179	[]
D-LYSOPINE-DEHYDROGENASE-RXN	4.446411
RXN-13475	-4.360016
1.8.4.3-RXN	-1.8724365
RXN-11050	-15.467116
RXN-19620	-13.105347
RXN18C3-113	-3.6101074
RXN-11461	-19.821838
RXN-8023	[]
GLYCEROL-KIN-RXN	-12.095886
RXN-16342	-4.360031
1.1.1.97-RXN	-0.25653076
RXN-13946	24.709997
RXN-8511	-31.189983
RXN66-608	[]
RXN-20092	-86.40001
RXN-16859	-91.90054
RXN-14376	[]
DCDPC-RXN	-8.517029
RXN-11926	-75.28049
1TRANSKETO-RXN	1.2300415
TRYPTOPHAN-RXN	5.1028786
RXN-19646	-91.37951
RXN-8962	-85.46475
RXN-11501	-3.112976
RXN-17345	-19.600021
GLYCPDIESTER-RXN	66.03546
RXN-14817	7.2170105
1.12.5.1-RXN	-30.552242
2.5.1.69-RXN	-16.130005
RXN-8535	-92.330505
RXN-17783	7.650772
RXN-20123	-307.29758
MANNPISOM-RXN	1.3800049
RXN-14412	[]
3.2.1.55-RXN	-42.764038
RXN-11970	-13.105316
RXN-20601	[]
UDP-GLUCURONOSYLTRANSFERASE-RXN	-82.05194
RXN-12412	[]
RXN-9	-13.809998
PUTRESCINE-N-METHYLTRANSFERASE-RXN	-10.460007
RXN-17379	0.7977295
RXN-9450	-14.200012
RXN-14844	3.2100048
RXN-2602	-0.25650024
2.6.1.65-RXN	-1.1358948
RXN-15308	-91.900665
RXN-17811	-87.04779
RXN-12886	-89.07234
METHTRANSBARK-RXN	-2.4969635
RXN0-1342	-44.12784
3.2.1.83-RXN	[]
RXN-18237	-95.81354
RXN-20626	[]
RXN-15792	-2.3199768
RXN-12444	-27.088867
3.5.1.95-RXN	-12.801254
PYRUVATE-CARBOXYLASE-RXN	-1.3699341
RXN-18684	-0.624176
RXN-9481	-83.59476
RXN-10441	-7.0729675
RXN-3102	-168.29195
ALDXANAU-RXN	-13.105286
RXN-15336	-2.3617554
RXN-6524	-111.93872
RXN-12919	6.8977203
RXN-13424	1.0869904
RXN0-2161	-78.750244
RXN-11002	1.2935181
RXN-18261	-95.81348
RXN0-7272	2.0959167
RXN-15823	-16.86224
RXN-7965	[]
3.6.4.3-RXN	[]
RXN-16276	-4.3745117
RXN-18717	-85.22052
RXN-13905	8.351746
RXN-10470	-28.211754
RXN66-492	[]
ALPHA-AMINO-ACID-ESTERASE-RXN	-12.414116
RXN-19133	[]
RXN-668	-12.547123
RXN-16811	9.279297
RXN-19161	[]
D-AMINO-ACID-OXIDASE-RXN	17.497353
RXN-13456	4.5099792
1.6.4.4-RXN	10.502869
RXN-11029	6.8977966
RXN-19596	0.62876654
RXN0-743	6.31
RXN-11443	5.677002
RXN-8006	8.351685
GLUTRACE-RXN	-2.569992
RXN-16309	-14.127121
