#model.rxns	memote_revIdx
r_4256	235.5176811
r_0230	235.5170957
r_4481	-161.0055451
r_1083	-136.6145942
r_0698	-132.1506692
r_4485	-110.3228032
r_4354	-107.2812976
r_0022	-95.78484573
r_0241	-93.97614039
r_0694	-86.62442324
r_0317	-85.96328873
r_0550	-80.23533244
r_0551	-80.23533244
r_0552	-80.23533244
r_1037	-80.23533244
r_0497	-71.24447298
r_0242	-69.42090925
r_0671	-68.64547854
r_0043	-65.48330935
r_1011	-64.87139381
r_1010	-64.71166802
r_4486	-64.60153246
r_0922	-61.55491624
r_0233	-61.43584774
r_2183	-61.27612194
r_0304	-60.67863645
r_1682	-58.39908003
r_0483	-55.66398383
r_0484	-55.66398383
r_4273	-55.12259868
r_0255	-47.34233001
r_0256	-47.34233001
r_4255	-45.94118326
r_4254	-45.84135464
r_4328	45.66841393
r_2458	44.5208713
r_4212	-40.75819684
r_4211	-40.49803703
r_0040	-39.79956071
r_0968	-32.83933054
r_0524	-29.47351816
r_1685	-28.30859248
r_1030	28.20704958
r_0566	-27.76376969
r_0038	-26.54487002
r_2112	-24.9612548
r_0935	-24.86905951
r_4488	-24.84617736
r_0938	-24.12297547
r_0955	-22.38896323
r_0190	-21.67695727
r_4236	21.5850365
r_0956	-21.40056668
r_0067	-21.12530704
r_1012	-20.45193853
r_0758	-20.29730835
r_1936	-19.7976139
r_0188	-19.65772377
r_0525	-19.60923297
r_0670	-19.18886216
r_0045	-19.18730122
r_1624	-19.1148607
r_1623	-18.30690212
r_0084	-18.30690212
r_0206	-18.16124543
r_0929	-17.9183868
r_0726	-17.90557976
r_0279	-17.65228068
r_0937	-17.48304845
r_0035	-17.41264478
r_0936	-17.17018706
r_0086	-16.906828
r_0564	-16.82777818
r_0033	-16.74793423
r_0967	-16.4494362
r_0996	-16.16954512
r_0034	-15.93788135
r_1032	-15.86074154
r_2236	-15.43327937
r_0036	-15.36084108
r_1744	-15.33413395
r_4267	-15.32610677
r_0037	-15.3217268
r_0555	-15.31914914
r_0249	-15.31912866
r_0203	-15.29845097
r_4266	-15.28540537
r_0364	-14.90427107
r_1081	-14.83764247
r_0288	-14.71348157
r_0286	-14.71348157
r_0462	-14.71348152
r_0461	-14.71348152
r_0282	-14.71348152
r_0284	-14.71348152
r_0285	-14.71146355
r_0283	-14.71146355
r_1047	-14.71146355
r_0373	-14.71146355
r_0281	-14.71146355
r_0287	-14.71146351
r_0085	-14.65655741
