%													
#for correction of metFormula (and metCharges) to balance equation	"#Note: no changes are made to R groups in model.metFormulas, since R groups can represent any CnHn and modification may cause other reactions to have unbalanced R groups"												
#model.mets	model.metFormulas	new_metFormulas	model.metCharges	new_metCharges	refMNXMID	rxn/related rxn(s)	refMNXRID	elementdiff	Notes	MNXNotes	KEGGNotes	ChEBINotes	otherDatabaseNotes
s_0710[m]	C42H44FeN8O8S2R4	C42H45FeN8O8S2R4	0	[]	MNXM746	r_0001	MNXR138960	H2	s_0710[m]: changed metFormula C42H44FeN8O8S2R4 to C42H45FeN8O8S2R4 to balance equation	"| ferricytochrome c is reduced to form ferrocytochrome c, thus 2 H added to metFormula for ferrocytochrome"	[]	[]	[]
s_0142[c]	C9H18N5O8P	C9H16N5O8P	0	-2	MNXM1099	r_0014	MNXR112805	H2	s_0142[c]: changed metFormula C9H18N5O8P to C9H16N5O8P to balance equation | changed metCharges 0 to -2 to balance equation	| based on metFormula in MNXM1099	[]	[]	[]
s_0194[c]	C10H12N5O5P	C10H11N5O5P	0	-1	MNXM9931	r_0034	MNXR136084	H1	s_0194[c]: changed metFormula C10H12N5O5P to C10H11N5O5P to balance equation | changed metCharges 0 to -1 to balance equation	| based on metFormula in MNXM9931	[]	[]	[]
s_0196[c]	C10H11N4O7P	C10H10N4O7P	0	-1	MNXM9932	r_0035	MNXR136083	H1	s_0196[c]: changed metFormula C10H11N4O7P to C10H10N4O7P to balance equation | changed metCharges 0 to -1 to balance equation	| based on metFormula in MNXM9932	[]	[]	[]
s_0158[c]	C4H9O6P	C4H7O6P	0	-2	MNXM2323	r_0038	MNXR97178	H-2	s_0158[c]: changed metFormula C4H9O6P to C4H7O6P to balance equation | changed metCharges 0 to -2 to balance equation	| based on metFormula in MNXM2323	[]	[]	[]
s_0215[c]	C37H54O3	C37H53O3	0	-1	MNXM3167	r_0043	MNXR110601	H1	s_0215[c]: changed metFormula C37H54O3 to C37H53O3 to balance equation | changed metCharges 0 to -1 to balance equation	| based on metFormula in MNXM3167	[]	| based on metFormula in CHEBI:31116	
s_0054[p]	C35H62N7O18P3S	C35H58N7O18P3S	0	-4	MNXM767	r_0057	MNXR100547	H4	s_0054[p]: changed metFormula C35H62N7O18P3S to C35H58N7O18P3S to balance equation | changed metCharges 0 to -4 to balance equation	| based on metFormula in MNXM767	[]	[]	[]
s_0147[c]	C7H5NO5	C7H6NO5	-2	-1	MNXM1372	r_0058	MNXR94889	H1	s_0147[c]: changed metFormula C7H5NO5 to C7H6NO5 to balance equation | changed metCharges -2 to -1 to balance equation	| based on metFormula in MNXM1372	[]	[]	[]
s_1488[m]	C19H23N7O6	C19H21N7O6	0	-2	MNXM79	r_0063; r_0503	MNXR100142	H2	s_1488[m]: changed metFormula C19H23N7O6 to C19H21N7O6 to balance equation | changed metCharges 0 to -2 to balance equation	[]	[]	[]	[]
s_0269[c]	C10H9NO5	C10H10NO5	-2	-1	MNXM1458	r_0066; r_0067	MNXR95440	H1	s_0269[c]: changed metFormula C10H9NO5 to C10H10NO5 to balance equation | changed metCharges -2 to -1 to balance equation	| based on metFormula in MNXM1458	[]	[]	[]
s_0279[c]	C6H19O27P7	C6H6O27P7	0	-13	MNXM37435	r_0073	MNXR103044	H12	s_0279[c]: changed metFormula C6H19O27P7 to C6H6O27P7 to balance equation | changed metCharges 0 to -13 to balance equation	[]	[]	[]	[]
s_0263[c]	C6H20O30P8	C6H7O30P8	0	-13	MNXM484827	r_0074	[]	O-1H-14	s_0263[c]: changed metFormula C6H20O30P8 to C6H7O30P8 to balance equation | changed metCharges 0 to -13 to balance equation	[]	[]	[]	[]
s_0333[c]	C6H19O27P7	C6H6O27P7	0	-13	MNXM38670	r_0092; r_0093	MNXR103044	H12	s_0333[c]: changed metFormula C6H19O27P7 to C6H6O27P7 to balance equation | changed metCharges 0 to -13 to balance equation	[]	[]	[]	[]
s_0309[c]	C6H20O30P8	C6H7O30P8	0	-13	MNXM487477	r_0093	[]	O-1H-14	s_0309[c]: changed metFormula C6H20O30P8 to C6H7O30P8 to balance equation | changed metCharges 0 to -13 to balance equation	[]	[]	[]	[]
