#model.rxns	grpCont_deltaG	grpCont_uncertainty	grpCont_lnRevIdx	MetaCyc_deltaG	MetaCyc_rxnDirection	MetaCyc_lnRevIdx	SEED_deltaG	SEED_uncertainty	SEED_lnRevIdx	SEED_rxnDirection	memote_revIdx	model_rxnDirection	Action	New_model.lb	Notes
r_0001	[]	[]	[]	-11.2865	-9.5247	=	[]	[]	[]	[]	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0002	[]	[]	[]	-11.2865	-9.5247	=	[]	[]	[]	[]	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0003	3.76	1.0797	-4.3693	1.0818	-6.1774	=	[]	[]	[]	[]	[]	=	Retain model reaction direction	[]	"Lack of strong experimental supporting evidence to justify change of reaction direction | Current model reaction direction is reversible, conservative approach to retain reaction direction"
r_0007	[]	[]	[]	0.62	1.0464	>	-2.27	0.32	-3.8313	<	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0012	4.254	1.6824	2.3933	1.5758	0.8865	>	-2.27	1.28	-1.2771	=	-10.6366	=	Change to irreversible forward	0	"Reference to MetaCyc ID PYRROLINECARBDEHYDROG-RXN, 2nd subreaction RXN-14116 is irreversible oxidation of L-glutamate-5-semialdehyde to L-glutamate as part of the proline degradation pathway"
r_0014	[]	[]	[]	-4.123	4.1242	>	[]	[]	[]	[]	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0015	[]	[]	[]	-0.7865	6.3768	>	[]	[]	[]	[]	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0016	[]	[]	[]	-9.6959	0.3619	>	[]	[]	[]	[]	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0018	0	2	0	0.7	0.5907	=	-0.17	0.71	-0.1435	=	[]	=	Retain model reaction direction	[]	"Lack of strong experimental supporting evidence to justify change of reaction direction | Current model reaction direction is reversible, conservative approach to retain reaction direction"
r_0019	6.22	1.0951	11.107	2.2935	8.4562	>	4.56	0.71	9.9863	=	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0020	-12.177	0.9875	-1.3132	-7.153	2.0786	=	-17.48	0.57	-4.8933	>	-13.988	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0021	-19.42	2.2287	-20.0186	[]	[]	[]	-19.42	6.89	-20.0186	>	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0022	-80.8267	1.926	-68.2096	[]	[]	[]	-80.46	1.66	-67.9002	>	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0023	1.473	0.8981	8.5652	-1.473	5.2503	=	0.38	0.45	7.3353	=	[]	=	Retain model reaction direction	[]	"Lack of strong experimental supporting evidence to justify change of reaction direction | Current model reaction direction is reversible, conservative approach to retain reaction direction"
r_0024	8.927	1.3086	5.0223	-10.1713	-5.7224	>	5.96	0.32	3.3531	>	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0025	8.927	1.3086	5.0223	-10.1713	-5.7224	>	5.96	0.32	3.3531	>	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0026	0	2	0	1.3241	1.1174	=	2.51	0.5	2.1182	=	[]	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0027	1.473	0.8981	-5.2503	1.473	-5.2503	>	0.38	0.45	-6.4802	=	[]	=	Retain model reaction direction	[]	"Lack of strong experimental supporting evidence to justify change of reaction direction | Current model reaction direction is reversible, conservative approach to retain reaction direction"
r_0028	10.737	1.313	6.0406	-13.5254	-7.6094	=	9.57	0.81	5.3841	>	-7.9054	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
r_0029	3.09	0.5417	2.6076	-1.8418	-1.5543	>	4.05	1.05	3.4178	>	-9.827	>	Retain model reaction direction	[]	"Current model reaction direction is irreversible forward, conservative approach to retain reaction direction | Emphasis of manual curation on reversible reaction, aim to reduce solution space of model"
