GLCxtI	O2xtI	NH3xtI	experimental growth
5.800000	2.700000	0.400000	0.100000
4.830000	4.420000	0.420000	0.100000
3.500000	7.800000	0.610000	0.150000
4.610000	9.200000	0.740000	0.180000
5.300000	1000	0.850000	0.200000
5.670000	8.700000	0.830000	0.200000
8.000000	8.800000	0.960000	0.250000
9.450000	9.300000	1.090000	0.280000
12.680000	8.200000	1.330000	0.340000
1.150000	2.700000	1000	0.100000
1.170000	2.500000	1000	0.100000
1.690000	4.000000	1000	0.150000
2.260000	5.000000	1000	0.200000
2.880000	6.500000	1000	0.250000
3.270000	7.460000	1000	0.270000
3.290000	7.800000	1000	0.280000
3.880000	8.000000	1000	0.310000
6.200000	7.000000	1000	0.330000
7.890000	6.500000	1000	0.350000
13.390000	3.000000	1000	0.380000
2.300000	0.000000	1000	0.030000
2.860000	0.000000	1000	0.047000
5.880000	0.000000	1000	0.101000
11.310000	0.000000	1000	0.190000
16.750000	0.000000	1000	0.281000
22.180000	0.000000	1000	0.369000
4.150000	0.000000	0.230000	0.050000
8.400000	0.000000	0.480000	0.100000
8.700000	0.000000	0.550000	0.100000
12.400000	0.000000	0.920000	0.160000
15.300000	0.000000	1.330000	0.200000
17.400000	0.000000	1.620000	0.240000
